Source,Target,Weight
力,忧,1
力,欲,1
力,志,1
力,众,1
力,患,1
力,修,1
力,安,1
力,谋,1
力,学,2
力,文,2
力,相,1
力,用,2
力,贫,1
力,衣,1
力,孝,2
力,国,1
力,世,1
力,死,1
力,同,1
力,和,1
力,亲,1
力,易,1
力,父,1
力,中,2
力,危,1
力,信,2
力,行,2
力,加,1
力,惑,1
力,君,1
力,色,1
力,乱,1
力,道,3
力,臣,1
力,服,2
力,爱,1
力,伐,1
力,神,2
力,身,2
力,弟,1
力,内,1
力,鬼,1
力,古,1
力,室,1
力,言,2
力,德,2
力,命,1
力,近,1
力,贤,1
力,辞,1
力,杀,1
力,朝,1
力,家,1
力,废,2
力,友,1
力,人,1
力,美,1
力,仁,3
力,止,1
力,过,1
力,孙,1
力,食,1
力,君子,1
力,邦,1
辟,益,1
辟,欲,1
辟,相,1
辟,佞,1
辟,世,2
辟,同,1
辟,易,1
辟,天,2
辟,行,1
辟,士,1
辟,色,1
辟,道,1
辟,愚,1
辟,知,1
辟,损,1
辟,政,1
辟,言,2
辟,善,1
辟,德,1
辟,贤,1
辟,得,1
辟,家,1
辟,友,1
辟,直,1
辟,人,1
辟,过,2
己,病,3
己,欲,3
己,忠,2
己,众,1
己,患,3
己,博,1
己,修,1
己,安,1
己,视,1
己,宗,2
己,劳,1
己,恕,1
己,义,1
己,施,3
己,学,2
己,小人,2
己,祭,1
己,圣,1
己,耻,1
己,孝,1
己,听,2
己,辱,1
己,死,1
己,达,1
己,天,1
己,信,4
己,行,3
己,乡,2
己,士,2
己,惑,1
己,君,2
己,恭,2
己,道,2
己,心,1
己,惠,1
己,身,1
己,弟,1
己,进,1
己,正,1
己,古,2
己,党,1
己,知,5
己,政,1
己,敏,2
己,言,5
己,退,1
己,治,1
己,位,1
己,命,1
己,敬,2
己,难,2
己,民,4
己,近,1
己,宰,1
己,家,1
己,友,2
己,人,13
己,归,1
己,仁,4
己,过,3
己,怨,1
己,君子,6
己,礼,1
己,邦,1
病,欲,1
病,众,1
病,博,1
病,修,1
病,安,1
病,施,1
病,学,1
病,小人,1
病,圣,1
病,死,1
病,达,1
病,天,1
病,行,2
病,道,1
病,臣,1
病,神,1
病,知,1
病,明,1
病,兴,1
病,敬,1
病,民,1
病,近,1
病,得,1
病,人,4
病,仁,1
病,君子,3
忧,欲,1
忧,患,2
忧,修,2
忧,安,1
忧,乐,2
忧,生,1
忧,义,1
忧,谋,2
忧,学,2
忧,文,1
忧,惧,3
忧,相,1
忧,失,1
忧,用,1
忧,贫,2
忧,孝,1
忧,国,1
忧,老,1
忧,世,1
忧,死,1
忧,和,1
忧,父,1
忧,中,2
忧,天,1
忧,危,1
忧,勇,2
忧,惑,2
忧,恭,1
忧,道,2
忧,臣,1
忧,服,1
忧,伐,1
忧,弟,1
忧,内,3
忧,知,3
忧,言,1
忧,贵,1
忧,善,1
忧,德,2
忧,命,1
忧,敬,1
忧,近,2
忧,贤,1
忧,辞,1
忧,兄,1
忧,亡,1
忧,家,1
忧,人,5
忧,仁,2
忧,止,1
忧,过,1
忧,孙,1
忧,食,3
忧,君子,5
忧,礼,1
忧,富,1
忧,邦,1
益,欲,1
益,乐,1
益,生,1
益,学,1
益,佞,1
益,世,1
益,居,1
益,骄,1
益,行,1
益,游,1
益,道,1
益,知,1
益,损,3
益,善,2
益,位,1
益,命,1
益,贤,1
益,友,2
益,直,1
益,人,1
益,思,1
益,节,1
益,食,1
益,礼,2
益,富,1
欲,忠,1
欲,志,1
欲,众,2
欲,患,2
欲,博,2
欲,修,1
欲,安,1
欲,乐,1
欲,视,2
欲,劳,1
欲,恕,1
欲,生,4
欲,义,3
欲,谋,1
欲,施,3
欲,谷,1
欲,学,1
欲,观,1
欲,文,3
欲,小人,1
欲,祭,1
欲,圣,1
欲,相,1
欲,失,1
欲,畏,1
欲,用,4
欲,贫,2
欲,衣,1
欲,名,1
欲,国,1
欲,世,1
欲,死,2
欲,艺,1
欲,达,2
欲,和,1
欲,居,3
欲,亲,1
欲,骄,1
欲,父,2
欲,反,1
欲,中,2
欲,天,1
欲,危,2
欲,信,1
欲,勇,1
欲,器,1
欲,行,6
欲,加,1
欲,士,1
欲,惑,2
欲,君,1
欲,隐,1
欲,乱,1
欲,道,3
欲,怀,1
欲,臣,2
欲,服,1
欲,心,1
欲,爱,2
欲,伐,2
欲,惠,1
欲,身,3
欲,内,1
欲,异,1
欲,正,1
欲,知,6
欲,明,1
欲,政,4
欲,利,4
欲,敏,2
欲,言,8
欲,贵,1
欲,才,1
欲,善,4
欲,位,1
欲,德,4
欲,命,3
欲,天命,1
欲,泰,1
欲,难,1
欲,民,4
欲,近,2
欲,宰,1
欲,教,1
欲,贤,2
欲,辞,2
欲,杀,3
欲,得,6
欲,亡,1
欲,家,2
欲,废,1
欲,友,1
欲,仕,2
欲,长,1
欲,人,13
欲,美,1
欲,归,1
欲,仁,8
欲,止,2
欲,过,3
欲,孙,1
欲,怨,3
欲,思,1
欲,节,1
欲,食,3
欲,君子,8
欲,礼,3
欲,富,2
欲,邦,4
性,文,1
性,相,1
性,天,1
性,道,1
性,言,1
性,近,1
性,得,1
忠,视,1
忠,劳,1
忠,恕,1
忠,生,1
忠,义,2
忠,谋,1
忠,学,2
忠,文,1
忠,孝,1
忠,听,1
忠,笃,1
忠,辱,1
忠,死,1
忠,居,2
忠,信,7
忠,行,3
忠,惑,1
忠,君,1
忠,恭,2
忠,色,2
忠,道,2
忠,臣,1
忠,爱,2
忠,身,1
忠,异,1
忠,室,1
忠,知,1
忠,明,1
忠,政,2
忠,言,2
忠,善,2
忠,德,1
忠,敬,4
忠,难,1
忠,民,1
忠,教,2
忠,得,2
忠,友,4
忠,仕,1
忠,人,3
忠,仁,2
忠,止,1
忠,过,2
忠,思,1
忠,君子,2
忠,礼,1
忠,富,1
忠,邦,2
志,博,1
志,安,2
志,乐,1
志,宗,1
志,劳,2
志,生,1
志,义,1
志,施,1
志,学,3
志,观,1
志,相,1
志,衣,2
志,耻,1
志,孝,1
志,庙,1
志,笃,1
志,国,1
志,老,1
志,辱,1
志,同,1
志,艺,1
志,达,1
志,居,3
志,父,2
志,中,2
志,让,1
志,信,1
志,勇,1
志,行,4
志,加,1
志,游,1
志,士,2
志,惑,2
志,隐,2
志,道,5
志,怀,1
志,服,1
志,心,1
志,伐,1
志,身,2
志,异,2
志,知,2
志,言,3
志,善,2
志,德,1
志,命,1
志,敬,1
志,天命,1
志,民,2
志,近,1
志,杀,1
志,朝,1
志,废,2
志,友,1
志,长,1
志,人,3
志,归,1
志,仁,4
志,怨,1
志,思,1
志,食,1
志,君子,1
志,礼,1
志,邦,1
众,博,1
众,修,1
众,视,1
众,劳,1
众,施,1
众,学,1
众,文,1
众,祭,1
众,圣,1
众,畏,1
众,用,1
众,衣,1
众,孝,1
众,国,1
众,世,1
众,达,2
众,居,1
众,亲,2
众,骄,1
众,丧,1
众,中,1
众,天,3
众,信,3
众,行,3
众,乡,1
众,宽,2
众,俭,1
众,恭,1
众,臣,1
众,心,1
众,爱,2
众,惠,2
众,弟,1
众,异,1
众,正,1
众,罪,1
众,知,1
众,容,1
众,政,3
众,兴,1
众,利,1
众,敏,2
众,言,1
众,退,1
众,善,2
众,德,1
众,命,1
众,泰,2
众,民,3
众,近,1
众,蔽,1
众,教,1
众,贤,1
众,杀,1
众,得,3
众,废,1
众,直,1
众,人,6
众,美,1
众,归,1
众,简,1
众,仁,6
众,过,1
众,怨,1
众,食,1
众,君子,2
众,礼,1
众,富,2
患,修,1
患,安,1
患,生,1
患,谋,1
患,文,1
患,相,1
患,失,2
患,用,1
患,贫,1
患,国,1
患,世,1
患,死,1
患,和,1
患,丧,1
患,中,1
患,天,2
患,危,1
患,君,1
患,恭,1
患,道,1
患,臣,1
患,服,1
患,伐,1
患,弟,1
患,内,2
患,知,3
患,言,1
患,贵,1
患,位,1
患,德,1
患,命,1
患,敬,1
患,近,1
患,辞,1
患,兄,1
患,得,2
患,亡,1
患,家,1
患,人,4
患,止,1
患,过,1
患,孙,1
患,君子,3
患,礼,1
患,富,1
患,邦,1
博,施,1
博,学,4
博,文,3
博,圣,1
博,用,1
博,名,1
博,笃,1
博,达,1
博,中,1
博,心,1
博,弟,1
博,才,1
博,善,1
博,难,1
博,民,1
博,近,2
博,贤,1
博,人,2
博,仁,2
博,思,1
博,食,1
博,君子,1
博,礼,3
修,安,2
修,义,1
修,谋,1
修,学,1
修,文,1
修,祭,1
修,相,1
修,用,2
修,贫,1
修,国,2
修,世,2
修,和,1
修,亲,2
修,丧,1
修,中,2
修,天,1
修,危,1
修,信,1
修,行,3
修,宽,1
修,游,1
修,惑,1
修,色,1
修,臣,2
修,服,1
修,心,1
修,伐,1
修,身,1
修,内,1
修,罪,1
修,政,1
修,兴,1
修,敏,1
修,言,1
修,善,3
修,德,3
修,命,2
修,敬,1
修,民,1
修,近,1
修,蔽,1
修,辞,1
修,得,2
修,朝,1
修,家,1
修,废,1
修,人,5
修,归,1
修,简,1
修,仁,1
修,止,1
修,过,2
修,孙,1
修,食,1
修,君子,2
修,富,1
修,邦,1
安,乐,3
安,视,1
安,宗,1
安,劳,1
安,生,1
安,谋,1
安,施,1
安,谷,1
安,学,2
安,观,1
安,文,1
安,相,2
安,用,1
安,贫,1
安,衣,2
安,庙,1
安,国,2
安,老,1
安,世,1
安,同,1
安,和,1
安,居,3
安,丧,1
安,父,1
安,中,1
安,天,1
安,危,1
安,让,1
安,信,1
安,勇,1
安,加,1
安,恭,1
安,道,1
安,怀,2
安,臣,1
安,服,2
安,爱,1
安,伐,2
安,内,1
安,慎,1
安,异,1
安,正,1
安,知,2
安,利,1
安,敏,1
安,言,4
安,善,1
安,德,1
安,敬,1
安,民,1
安,免,1
安,近,1
安,辞,1
安,家,1
安,友,1
安,长,2
安,人,4
安,归,1
安,仁,2
安,止,1
安,过,1
安,孙,1
安,食,2
安,君子,5
安,礼,2
安,邦,2
乐,宗,1
乐,生,2
乐,义,3
乐,谷,1
乐,学,2
乐,文,1
乐,相,1
乐,失,1
乐,用,1
乐,贫,1
乐,衣,1
乐,名,1
乐,佞,1
乐,庙,1
乐,国,2
乐,老,1
乐,世,1
乐,死,1
乐,同,1
乐,艺,1
乐,居,2
乐,易,1
乐,骄,2
乐,丧,2
乐,父,1
乐,反,1
乐,中,2
乐,天,2
乐,危,1
乐,让,1
乐,信,1
乐,勇,2
乐,行,4
乐,加,1
乐,游,1
乐,君,1
乐,乱,1
乐,哀,1
乐,道,2
乐,怀,1
乐,臣,2
乐,服,2
乐,爱,1
乐,伐,1
乐,进,1
乐,异,1
乐,正,2
乐,知,12
乐,损,1
乐,政,2
乐,兴,3
乐,利,3
乐,言,6
乐,贵,1
乐,善,2
乐,命,2
乐,难,1
乐,民,2
乐,免,1
乐,贤,2
乐,得,2
乐,朝,1
乐,家,1
乐,友,1
乐,长,2
乐,人,13
乐,归,2
乐,仁,4
乐,过,1
乐,诗,2
乐,思,1
乐,节,1
乐,食,4
乐,君子,5
乐,礼,11
乐,富,2
乐,邦,4
视,劳,1
视,生,1
视,义,1
视,观,1
视,祭,1
视,畏,1
视,衣,1
视,听,2
视,庙,1
视,死,1
视,骄,1
视,父,1
视,天,1
视,行,1
视,加,1
视,君,1
视,恭,1
视,色,1
视,服,1
视,惠,1
视,正,2
视,明,1
视,政,1
视,利,1
视,敏,1
视,言,2
视,命,1
视,敬,1
视,泰,1
视,难,1
视,民,1
视,教,1
视,杀,1
视,得,3
视,朝,1
视,人,4
视,美,1
视,归,1
视,仁,2
视,怨,1
视,思,1
视,食,1
视,君子,2
视,礼,1
宗,义,1
宗,学,1
宗,小人,1
宗,相,1
宗,失,1
宗,耻,2
宗,孝,1
宗,听,1
宗,庙,4
宗,国,1
宗,辱,2
宗,同,1
宗,居,1
宗,亲,1
宗,丧,1
宗,让,1
宗,信,2
宗,勇,1
宗,行,1
宗,乡,1
宗,加,1
宗,士,1
宗,君,2
宗,恭,1
宗,道,1
宗,服,1
宗,弟,1
宗,异,1
宗,古,1
宗,室,1
宗,党,1
宗,知,1
宗,政,1
宗,言,6
宗,治,1
宗,命,1
宗,民,1
宗,近,1
宗,宰,1
宗,贤,1
宗,得,1
宗,朝,2
宗,家,1
宗,长,1
宗,人,3
宗,美,1
宗,归,1
宗,君子,1
宗,礼,2
宗,富,1
宗,邦,1
变,衣,1
变,听,1
变,居,2
变,亲,1
变,中,1
变,色,1
变,道,1
变,服,1
变,内,1
变,正,1
变,容,1
变,明,1
变,言,2
变,食,1
变,君子,1
劳,生,1
劳,施,1
劳,畏,1
劳,衣,2
劳,孝,1
劳,笃,1
劳,老,1
劳,亲,1
劳,骄,1
劳,父,1
劳,信,2
劳,勇,1
劳,恭,1
劳,色,1
劳,乱,1
劳,怀,1
劳,服,1
劳,爱,1
劳,伐,1
劳,惠,1
劳,弟,1
劳,慎,1
劳,正,1
劳,政,2
劳,兴,1
劳,利,1
劳,言,1
劳,善,1
劳,敬,1
劳,泰,1
劳,难,1
劳,民,3
劳,教,2
劳,杀,1
劳,得,1
劳,友,1
劳,直,1
劳,人,1
劳,美,1
劳,仁,2
劳,怨,2
劳,食,1
劳,君子,3
劳,礼,1
恕,施,1
恕,行,1
恕,道,1
恕,身,1
恕,言,1
恕,人,2
生,义,2
生,谷,1
生,学,1
生,文,1
生,祭,2
生,失,1
生,畏,1
生,衣,1
生,孝,3
生,庙,1
生,死,5
生,艺,1
生,和,1
生,居,2
生,丧,1
生,父,1
生,天,5
生,危,1
生,信,1
生,勇,1
生,行,4
生,加,1
生,士,1
生,惑,1
生,君,1
生,恭,2
生,色,1
生,乱,1
生,哀,1
生,道,2
生,怀,1
生,服,2
生,爱,2
生,神,1
生,身,1
生,弟,3
生,内,1
生,慎,1
生,鬼,1
生,异,1
生,正,1
生,古,1
生,知,6
生,利,1
生,敏,1
生,言,3
生,贵,1
生,位,1
生,德,2
生,命,4
生,敬,1
生,难,1
生,民,1
生,免,2
生,贤,1
生,杀,1
生,兄,1
