+	力	辟	己	病	忧	益	欲	性	忠	志	众	患	博	修	安	乐	视	宗	变	劳	恕	生	义	谋	施	谷	学	观	文	小人	祭	惧	圣	相	失	畏	用	贫	衣	耻	孝	听	名	佞	庙	笃	气	国	老	辱	世	死	同	艺	达	和	居	亲	易	骄	丧	父	反	中	天	危	让	信	勇	器	行	乡	宽	加	俭	游	士	惑	君	恭	隐	色	识	乱	哀	道	怀	臣	服	心	爱	伐	惠	神	身	弟	内	慎	进	鬼	异	正	古	室	罪	愚	党	知	损	容	明	政	兴	利	敏	言	贵	退	才	治	善	位	德	命	敬	天命	泰	难	狂	民	免	近	蔽	宰	教	贤	辞	杀	兄	得	朝	亡	质	家	废	友	仕	直	长	人	美	归	简	荡	仁	止	过	诗	孙	怨	思	节	食	君子	礼	富	邦
力	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	1	0	0	2	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	2	0	1	0	2	0	0	2	0	0	1	0	0	0	1	1	0	0	1	0	1	0	3	0	1	2	0	1	1	0	2	2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	2	1	0	0	0	1	1	0	0	0	3	1	1	0	1	0	0	0	1	1	0	0	1
辟	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
己	0	0	0	3	0	0	3	0	2	0	1	3	1	1	1	0	1	2	0	1	1	0	1	0	3	0	2	0	0	2	1	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	2	0	0	0	0	2	1	2	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	2	0	0	0	1	5	0	0	0	1	0	0	2	5	0	1	0	1	0	1	0	1	2	0	0	2	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	13	0	1	0	0	4	0	3	0	0	1	0	0	0	6	1	0	1
病	0	0	3	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
忧	1	0	0	0	0	0	1	0	0	0	0	2	0	2	1	2	0	0	0	0	0	1	1	2	0	0	2	0	1	0	0	3	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	2	1	1	0	1	0	0	0	3	5	1	1	1
益	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0
欲	1	1	3	1	1	1	0	0	1	1	2	2	2	1	1	1	2	0	0	1	1	4	3	1	3	1	1	1	3	1	1	0	1	1	1	1	4	2	1	0	0	0	1	0	0	0	0	1	0	0	1	2	0	1	2	1	3	1	0	1	0	2	1	2	1	2	0	1	1	1	6	0	0	1	0	0	1	2	1	0	1	0	0	1	0	3	1	2	1	1	2	2	1	0	3	0	1	0	0	0	1	1	0	0	0	0	0	6	0	0	1	4	0	4	2	8	1	0	1	0	4	1	4	3	0	1	1	1	0	4	0	2	0	1	1	2	2	3	0	6	0	1	0	2	1	1	2	0	1	13	1	1	0	0	8	2	3	0	1	3	1	1	3	8	3	2	4
性	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
忠	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	1	1	2	0	2	0	0	0	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	2	0	0	0	2	0	0	0	0	2	0	1	0	4	0	0	1	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	4	1	0	0	3	0	0	0	0	2	1	2	0	0	0	1	0	0	2	1	1	2
志	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	2	0	1	1	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	3	0	0	0	0	2	0	2	0	0	1	1	1	0	4	0	0	1	0	1	2	2	0	0	2	0	0	0	0	5	1	0	1	1	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	1	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	3	0	1	0	0	4	0	0	0	0	1	1	0	1	1	1	0	1
众	1	0	1	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	2	0	1	1	0	0	1	3	0	0	3	0	0	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	3	1	1	2	1	0	1	0	0	2	0	1	1	0	0	2	0	0	3	0	1	1	0	1	1	0	1	0	3	0	0	0	0	1	0	0	1	0	6	1	1	1	0	6	0	1	0	0	1	0	0	1	2	1	2	0
患	1	0	3	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	3	1	1	1
博	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	1	1	3	0	0
修	1	0	1	1	2	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	2	1	1	0	1	0	0	3	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	3	0	3	2	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	1	0	0	1	1	0	0	0	0	5	0	1	1	0	1	1	2	0	1	0	0	0	1	2	0	1	1
安	1	0	1	1	1	0	1	0	0	2	0	1	0	2	0	3	1	1	0	1	0	1	0	1	1	1	2	1	1	0	0	0	0	2	0	0	1	1	2	0	0	0	0	0	1	0	0	2	1	0	1	0	1	0	0	1	3	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	1	2	0	1	2	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	1	4	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	4	0	1	0	0	2	1	1	0	1	0	0	0	2	5	2	0	2
乐	0	0	0	0	2	1	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	2	3	0	0	1	2	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	0	0	2	1	0	1	1	1	1	0	0	2	0	1	2	2	1	1	2	2	1	1	1	2	0	4	0	0	1	0	1	0	0	1	0	0	0	0	1	1	2	1	2	2	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	12	1	0	0	2	3	3	0	6	1	0	0	0	2	0	0	2	0	0	0	1	0	2	1	0	0	0	0	2	0	0	0	2	1	0	0	1	0	1	0	0	2	13	0	2	0	0	4	0	1	2	0	0	1	1	4	5	11	2	4
视	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	4	1	1	0	0	2	0	0	0	0	1	1	0	1	2	1	0	0
